question_type,examples,base_rougeL,lora_rougeL,base_bertscore,lora_bertscore,base_num_ground,lora_num_ground,base_num_recall,lora_num_recall
Eligibility / Qualification,241,0.6748985870087063,0.66633285983437,0.93634033,0.93543684,0.9412562195757216,0.9285911875123494,0.8404943028387012,0.8162896002107621
Intervention,57,0.6991801299892568,0.7073902222841855,0.94845104,0.9485006,1.0,1.0,0.896157059314954,0.9377192982456141
Numeric / Threshold,31,0.67522795761713,0.6883505001383602,0.94088745,0.9422923,0.9403225806451613,0.9193548387096774,0.9372759856630825,0.9372759856630825
Other,186,0.5773386485851086,0.5784954538592321,0.93187916,0.9322882,0.9928315412186379,0.996505376344086,0.8937877236264333,0.8850878213781439
Study Design,227,0.8204766839223799,0.82541431477848,0.96993405,0.97119457,0.9941262848751835,0.9919236417033773,0.9765051395007341,0.9845814977973568
Temporal,41,0.5592715079090435,0.5884675940682275,0.9294638,0.9311832,1.0,1.0,0.9024390243902439,0.8536585365853658
