question_type,examples,base_rougeL,lora_rougeL,base_bertscore,lora_bertscore,base_num_ground,lora_num_ground,base_num_recall,lora_num_recall
Eligibility / Qualification,228,0.6515959476164181,0.6421013870704793,0.93206537,0.9296656,0.9146524771524772,0.9108880154932787,0.8597245347245347,0.8697779803042961
Intervention,64,0.6678490412015575,0.690487471786198,0.9415796,0.9469297,1.0,0.99609375,0.8981770833333333,0.9180803571428572
Numeric / Threshold,37,0.707529758849105,0.7057024676377477,0.94940764,0.95236534,0.9555984555984555,0.9447876447876448,0.8577170577170578,0.873032373032373
Other,180,0.6065648101711034,0.6036948369290361,0.9359314,0.93552125,0.9930555555555556,0.9908333333333333,0.8971031746031746,0.9021825396825397
Study Design,227,0.8180015790598067,0.810980837256762,0.9682091,0.9675996,0.987885462555066,0.987885462555066,0.9625550660792952,0.961453744493392
Temporal,48,0.5655091300639392,0.5374378710348188,0.9307105,0.9264665,1.0,1.0,0.9010416666666666,0.8847222222222223
