question_type,examples,base_rougeL,lora_rougeL,base_bertscore,lora_bertscore,base_num_ground,lora_num_ground,base_num_recall,lora_num_recall
Eligibility / Qualification,228,0.6352097561603974,0.6555075843912868,0.9274993,0.9320385,0.9190215121136174,0.9079191033138402,0.8519730513151565,0.8714378457799511
Intervention,64,0.6621920054966511,0.673650997081569,0.94315314,0.9448618,0.99609375,0.996875,0.8893973214285714,0.9033482142857143
Numeric / Threshold,37,0.6820302223551021,0.6602982714895618,0.9426774,0.9389502,0.9533462033462033,0.9668597168597169,0.8976140976140977,0.8821700821700821
Other,180,0.5954293299603876,0.5989362315074395,0.93420464,0.9341446,0.9903703703703705,0.9915277777777778,0.8827380952380952,0.8810846560846561
Study Design,227,0.8236760845627961,0.8081070326150107,0.9679108,0.9670959,0.987518355359765,0.987518355359765,0.9658590308370044,0.9658590308370044
Temporal,48,0.5822743676584589,0.5692258907100155,0.9332528,0.9304618,1.0,1.0,0.9055555555555556,0.859375
